,EnvironmentSatisfaction,JobSatisfaction,Attrition,BusinessTravel,Education,EducationField,JobLevel,JobRole,MaritalStatus,MonthlyIncome,NumCompaniesWorked,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsSinceLastPromotion,YearsWithCurrManager,JobInvolvement
62,4.0,3.0,No,Travel_Rarely,2,Medical,4,Research Director,Single,28560,1.0,2,5.0,5,0,4,4
63,4.0,4.0,No,Travel_Rarely,3,Life Sciences,2,Healthcare Representative,Divorced,10810,4.0,3,13.0,4,1,7,4
64,1.0,4.0,No,Travel_Rarely,3,Technical Degree,2,Healthcare Representative,Single,24720,7.0,0,10.0,2,0,7,3
65,1.0,4.0,Yes,Travel_Rarely,4,Medical,1,Sales Executive,Married,56730,5.0,1,5.0,4,2,2,2
66,4.0,4.0,No,Travel_Rarely,3,Life Sciences,4,Research Director,Married,41970,1.0,0,11.0,3,1,9,3
67,3.0,3.0,No,Travel_Frequently,1,Life Sciences,1,Manager,Married,97130,1.0,0,10.0,5,8,9,2
68,3.0,4.0,No,Travel_Frequently,4,Medical,1,Research Scientist,Married,20620,1.0,0,21.0,4,13,3,3
69,4.0,3.0,Yes,Travel_Rarely,1,Medical,1,Laboratory Technician,Married,42840,4.0,1,12.0,0,0,0,3
70,2.0,4.0,No,Travel_Frequently,2,Life Sciences,4,Research Scientist,Single,47880,3.0,1,9.0,0,0,1,3
71,4.0,3.0,No,Travel_Rarely,3,Life Sciences,2,Healthcare Representative,Married,59060,4.0,0,21.0,4,1,1,4
72,3.0,3.0,No,Travel_Frequently,3,Medical,5,Research Director,Divorced,38860,1.0,2,9.0,2,0,0,3
73,3.0,2.0,No,Non-Travel,3,Life Sciences,1,Research Director,Married,168230,0.0,0,6.0,3,1,4,3
74,4.0,3.0,No,Travel_Frequently,4,Life Sciences,2,Research Scientist,Single,29330,3.0,2,20.0,2,0,3,3
75,3.0,1.0,No,Travel_Rarely,2,Life Sciences,2,Manager,Married,65000,8.0,0,10.0,3,0,0,3
76,4.0,4.0,No,Travel_Rarely,1,Marketing,1,Sales Executive,Married,171740,9.0,1,12.0,6,9,8,3
77,2.0,4.0,No,Travel_Rarely,4,Other,4,Research Scientist,Married,50330,2.0,2,6.0,6,0,2,3
78,2.0,1.0,Yes,Travel_Rarely,3,Medical,1,Research Scientist,Married,23070,1.0,1,7.0,0,0,7,3
79,2.0,4.0,No,Travel_Rarely,3,Medical,3,Sales Representative,Single,25870,0.0,2,4.0,3,2,2,3
80,4.0,3.0,No,Travel_Rarely,3,Life Sciences,2,Research Scientist,Divorced,55070,1.0,2,10.0,2,1,2,2
81,2.0,2.0,No,Travel_Rarely,2,Medical,1,Manager,Married,43930,1.0,1,8.0,2,0,7,2
82,4.0,4.0,No,Travel_Rarely,4,Life Sciences,2,Healthcare Representative,Divorced,133480,7.0,0,8.0,4,0,4,3
83,3.0,4.0,No,Travel_Rarely,4,Medical,1,Laboratory Technician,Divorced,65830,0.0,0,12.0,1,2,9,3
84,3.0,4.0,No,Travel_Rarely,3,Medical,3,Manager,Single,81030,1.0,1,11.0,5,4,10,3
85,4.0,2.0,No,Travel_Rarely,4,Life Sciences,3,Sales Executive,Divorced,39780,1.0,0,7.0,0,1,7,3
86,3.0,2.0,No,Travel_Rarely,2,Technical Degree,3,Manager,Single,25440,0.0,1,17.0,3,0,13,4
87,3.0,4.0,No,Travel_Rarely,4,Life Sciences,1,Manufacturing Director,Divorced,53990,1.0,0,4.0,2,0,2,2
88,4.0,2.0,No,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Single,54870,6.0,2,8.0,0,1,2,3
89,2.0,3.0,No,Travel_Frequently,3,Medical,2,Laboratory Technician,Single,68340,3.0,1,5.0,2,0,0,4
90,1.0,4.0,No,Travel_Rarely,4,Life Sciences,1,Manager,Single,10910,2.0,0,16.0,0,0,0,1
91,4.0,3.0,No,Non-Travel,4,Marketing,2,Human Resources,Married,57360,1.0,0,4.0,1,0,2,2
92,3.0,3.0,No,Travel_Rarely,4,Medical,3,Research Scientist,Divorced,22260,0.0,1,4.0,3,1,0,2
93,3.0,2.0,No,Travel_Rarely,3,Medical,2,Research Scientist,Married,57470,1.0,0,8.0,0,0,7,3
94,1.0,3.0,No,Travel_Rarely,4,Medical,4,Sales Executive,Married,98540,3.0,1,15.0,2,0,0,2
95,3.0,1.0,No,Travel_Rarely,5,Technical Degree,2,Manufacturing Director,Divorced,54670,4.0,0,13.0,2,6,7,3
96,4.0,3.0,No,Non-Travel,4,Other,1,Healthcare Representative,Married,53800,7.0,1,4.0,0,2,2,3
97,3.0,3.0,No,Travel_Rarely,3,Medical,5,Laboratory Technician,Married,51510,1.0,3,8.0,3,7,7,3
98,1.0,4.0,No,Travel_Rarely,2,Medical,1,Laboratory Technician,Single,21330,3.0,2,14.0,2,0,0,3
99,1.0,2.0,Yes,Travel_Frequently,3,Medical,4,Manufacturing Director,Single,178750,1.0,0,3.0,5,1,2,2
100,4.0,4.0,No,Non-Travel,3,Human Resources,2,Laboratory Technician,Single,24320,4.0,0,7.0,4,0,0,1
101,1.0,4.0,No,Travel_Frequently,3,Life Sciences,2,Research Scientist,Married,47710,4.0,1,16.0,2,1,12,3
102,4.0,3.0,No,Travel_Rarely,4,Life Sciences,5,Research Scientist,Married,191610,2.0,0,15.0,2,1,2,1
103,4.0,3.0,No,Travel_Rarely,3,Other,2,Sales Executive,Married,50870,3.0,1,10.0,3,1,7,3
104,1.0,4.0,No,Non-Travel,5,Life Sciences,2,Manager,Single,28630,1.0,0,3.0,2,2,2,1
105,4.0,3.0,Yes,Travel_Rarely,2,Human Resources,5,Manager,Single,55610,1.0,1,1.0,3,0,0,1
106,3.0,1.0,No,Travel_Rarely,3,Life Sciences,4,Research Scientist,Married,21440,6.0,0,17.0,3,0,3,4
107,3.0,3.0,No,Non-Travel,4,Marketing,2,Laboratory Technician,Married,30650,2.0,0,7.0,3,0,0,3
108,1.0,2.0,Yes,Travel_Frequently,1,Medical,1,Research Scientist,Single,28100,1.0,0,8.0,3,7,7,4
109,4.0,4.0,No,Travel_Rarely,3,Medical,3,Laboratory Technician,Single,98880,6.0,0,20.0,2,1,3,3
110,3.0,3.0,Yes,Travel_Rarely,3,Medical,1,Healthcare Representative,Married,86280,2.0,0,8.0,2,1,0,2
111,3.0,2.0,No,Travel_Rarely,3,Life Sciences,4,Human Resources,Single,28670,0.0,0,3.0,5,2,2,3
112,3.0,2.0,Yes,Travel_Rarely,2,Human Resources,1,Laboratory Technician,Single,53730,1.0,1,1.0,2,0,0,3
113,4.0,4.0,No,Travel_Rarely,3,Life Sciences,2,Research Director,Single,66670,9.0,1,6.0,6,1,2,4
114,3.0,2.0,No,Travel_Rarely,3,Life Sciences,3,Sales Executive,Single,50030,9.0,0,10.0,2,0,0,3
115,4.0,2.0,No,Travel_Rarely,3,Life Sciences,1,Sales Executive,Divorced,23670,2.0,1,5.0,2,0,4,3
116,2.0,4.0,No,Travel_Rarely,2,Medical,3,Manager,Single,28580,1.0,0,7.0,2,0,7,2
117,2.0,3.0,No,Travel_Rarely,3,Technical Degree,2,Manufacturing Director,Single,52040,8.0,1,26.0,3,0,0,3
118,3.0,4.0,No,Travel_Rarely,2,Life Sciences,1,Sales Executive,Married,41050,4.0,1,18.0,2,0,7,3
119,4.0,3.0,No,Travel_Rarely,2,Life Sciences,1,Sales Executive,Married,96790,4.0,0,6.0,1,2,2,3
120,1.0,4.0,Yes,Non-Travel,3,Life Sciences,1,Sales Representative,Single,56170,8.0,1,9.0,3,0,4,3
121,3.0,4.0,No,Travel_Rarely,3,Marketing,1,Laboratory Technician,Single,104480,2.0,0,30.0,3,1,2,3
122,4.0,3.0,No,Travel_Rarely,3,Life Sciences,5,Manager,Divorced,28970,1.0,3,5.0,4,0,3,3
123,3.0,2.0,No,Travel_Rarely,3,Life Sciences,2,Manager,Married,59680,1.0,0,1.0,3,0,0,3
124,3.0,4.0,Yes,Travel_Frequently,3,Life Sciences,2,Manager,Single,75100,0.0,3,7.0,3,0,4,3
125,1.0,2.0,No,Travel_Rarely,5,Other,1,Research Scientist,Married,29910,1.0,2,2.0,3,1,2,2
126,2.0,3.0,No,Travel_Rarely,3,Medical,5,Healthcare Representative,Married,196360,1.0,1,10.0,3,9,0,3
127,3.0,4.0,Yes,Travel_Frequently,2,Marketing,3,Research Scientist,Single,11290,9.0,0,3.0,2,0,0,2
128,4.0,1.0,No,Travel_Rarely,1,Technical Degree,1,Sales Executive,Divorced,133410,1.0,1,18.0,3,12,17,3
129,4.0,2.0,No,Travel_Rarely,2,Medical,3,Research Scientist,Divorced,43320,7.0,2,8.0,3,1,3,2
130,2.0,1.0,No,Travel_Rarely,3,Medical,4,Manager,Divorced,110310,3.0,1,8.0,2,1,2,2
131,3.0,2.0,No,Travel_Rarely,1,Marketing,3,Sales Executive,Single,44400,2.0,1,18.0,3,0,1,2
132,1.0,2.0,No,Travel_Rarely,2,Life Sciences,1,Sales Executive,Divorced,46170,1.0,0,25.0,2,3,9,3
133,2.0,3.0,No,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Married,26470,6.0,0,20.0,2,0,0,2
134,1.0,1.0,No,Travel_Rarely,3,Life Sciences,2,Manufacturing Director,Married,63230,4.0,1,24.0,2,1,2,2
135,3.0,3.0,No,Non-Travel,3,Medical,1,Laboratory Technician,Married,56770,9.0,1,6.0,3,1,2,3
136,2.0,1.0,No,Travel_Rarely,4,Life Sciences,3,Sales Executive,Married,21870,1.0,1,13.0,2,3,12,2
137,4.0,4.0,No,Travel_Frequently,3,Life Sciences,1,Manufacturing Director,Married,37480,7.0,2,10.0,3,1,2,2
138,3.0,3.0,No,Travel_Rarely,4,Life Sciences,2,Sales Representative,Divorced,39770,4.0,1,8.0,3,0,2,3
139,2.0,4.0,No,Travel_Rarely,2,Human Resources,1,Manufacturing Director,Single,86330,1.0,1,5.0,2,1,3,4
140,2.0,3.0,No,Non-Travel,3,Medical,3,Laboratory Technician,Married,20080,3.0,0,15.0,5,10,7,2
141,4.0,1.0,No,Travel_Rarely,1,Medical,3,Laboratory Technician,Married,44400,1.0,1,4.0,2,3,2,3
142,2.0,3.0,No,Travel_Frequently,4,Technical Degree,1,Sales Executive,Divorced,30670,1.0,1,21.0,5,1,6,1
143,3.0,1.0,No,Travel_Frequently,4,Life Sciences,3,Sales Executive,Married,53210,9.0,0,36.0,1,7,7,3
144,2.0,3.0,No,Travel_Rarely,4,Medical,2,Manufacturing Director,Single,54100,0.0,1,6.0,2,4,4,3
145,2.0,1.0,No,Travel_Rarely,3,Technical Degree,3,Research Scientist,Married,27820,1.0,0,10.0,2,0,7,2
146,3.0,1.0,No,Travel_Rarely,3,Medical,3,Healthcare Representative,Divorced,119570,1.0,0,10.0,2,1,8,2
147,1.0,1.0,Yes,Travel_Rarely,2,Life Sciences,3,Laboratory Technician,Married,26600,5.0,0,6.0,3,0,2,3
148,4.0,3.0,No,Travel_Rarely,2,Life Sciences,2,Sales Representative,Married,33750,2.0,0,28.0,2,0,4,2
149,1.0,4.0,No,Travel_Rarely,3,Medical,1,Sales Executive,Married,50980,3.0,1,8.0,4,0,2,3
150,4.0,4.0,No,Travel_Rarely,3,Medical,2,Research Scientist,Married,48780,2.0,1,31.0,3,1,4,3
151,1.0,3.0,No,Travel_Frequently,3,Marketing,2,Healthcare Representative,Divorced,28370,2.0,1,19.0,0,0,2,2
152,3.0,4.0,No,Travel_Rarely,3,Marketing,1,Sales Executive,Single,24060,2.0,1,11.0,5,0,2,3
153,1.0,1.0,No,Travel_Rarely,3,Life Sciences,1,Manufacturing Director,Married,22690,5.0,1,33.0,4,11,10,3
154,3.0,3.0,No,Travel_Rarely,4,Marketing,1,Sales Executive,Divorced,41080,2.0,0,19.0,5,0,8,2
155,4.0,4.0,No,Travel_Frequently,4,Technical Degree,4,Sales Executive,Married,132060,0.0,2,7.0,2,0,4,3
156,1.0,2.0,Yes,Travel_Rarely,2,Medical,1,Research Scientist,Single,104220,1.0,1,6.0,0,1,4,2
157,4.0,3.0,Yes,Travel_Frequently,3,Medical,2,Research Scientist,Divorced,137440,0.0,1,3.0,3,1,0,3
158,4.0,4.0,No,Travel_Frequently,3,Marketing,2,Sales Executive,Married,49070,1.0,1,1.0,3,0,0,3
159,3.0,3.0,No,Travel_Rarely,4,Marketing,1,Sales Executive,Married,34820,0.0,1,21.0,2,1,12,2
160,1.0,4.0,No,Travel_Rarely,2,Medical,4,Healthcare Representative,Divorced,24360,1.0,0,3.0,2,0,2,4
161,3.0,4.0,No,Non-Travel,3,Medical,2,Sales Executive,Married,23800,4.0,3,9.0,2,1,4,2
162,2.0,3.0,No,Travel_Rarely,3,Medical,3,Manufacturing Director,Married,194310,1.0,0,10.0,3,0,7,3
163,3.0,2.0,Yes,Travel_Rarely,4,Life Sciences,3,Research Scientist,Married,17900,5.0,1,6.0,4,1,1,2
164,1.0,4.0,Yes,Travel_Rarely,3,Medical,1,Sales Executive,Single,76440,1.0,2,1.0,2,0,0,3
165,3.0,1.0,No,Non-Travel,4,Life Sciences,3,Research Scientist,Married,51310,0.0,1,10.0,2,7,8,3
166,1.0,4.0,No,Travel_Rarely,2,Life Sciences,4,Research Scientist,Divorced,63060,3.0,1,32.0,3,0,0,3
167,2.0,3.0,No,Travel_Rarely,4,Life Sciences,3,Manager,Married,47870,0.0,0,28.0,3,15,7,3
168,3.0,4.0,No,Non-Travel,2,Life Sciences,3,Laboratory Technician,Single,188800,0.0,1,12.0,3,6,7,3
169,3.0,1.0,No,Travel_Frequently,3,Life Sciences,4,Laboratory Technician,Married,23390,4.0,0,22.0,4,13,11,3
170,1.0,4.0,No,Travel_Rarely,3,Technical Degree,5,Manufacturing Director,Divorced,135700,5.0,2,20.0,2,0,4,2
171,1.0,3.0,No,Travel_Rarely,1,Technical Degree,1,Laboratory Technician,Married,67120,6.0,1,26.0,3,0,1,2
172,4.0,3.0,No,Travel_Rarely,2,Medical,2,Laboratory Technician,Single,54060,0.0,1,6.0,2,4,3,3
173,3.0,3.0,No,Travel_Rarely,4,Medical,2,Human Resources,Single,89380,7.0,3,19.0,2,0,0,3
174,4.0,3.0,No,Travel_Rarely,2,Life Sciences,1,Laboratory Technician,Divorced,24390,3.0,2,14.0,2,5,7,4
175,3.0,4.0,No,Travel_Rarely,3,Life Sciences,1,Healthcare Representative,Married,88370,2.0,0,15.0,3,1,2,2
176,3.0,2.0,No,Travel_Rarely,3,Life Sciences,2,Research Director,Divorced,53430,1.0,1,13.0,3,0,8,3
177,2.0,3.0,Yes,Travel_Rarely,3,Life Sciences,4,Research Director,Married,67280,7.0,0,15.0,2,7,7,2
178,1.0,4.0,Yes,Travel_Rarely,4,Marketing,2,Research Director,Divorced,66520,7.0,0,8.0,5,1,3,3
179,4.0,2.0,No,Travel_Rarely,3,Life Sciences,1,Sales Executive,Single,48500,0.0,1,4.0,4,1,2,3
180,4.0,3.0,No,Travel_Rarely,2,Medical,2,Sales Representative,Married,28090,4.0,1,10.0,2,0,0,1
181,1.0,3.0,Yes,Travel_Frequently,2,Medical,2,Sales Executive,Married,56890,3.0,2,12.0,2,0,0,2
182,2.0,1.0,Yes,Travel_Frequently,1,Marketing,1,Research Director,Divorced,20010,9.0,1,11.0,5,0,2,4
183,2.0,3.0,No,Travel_Frequently,4,Medical,1,Research Scientist,Married,29770,4.0,3,8.0,3,2,0,2
184,2.0,4.0,No,Non-Travel,4,Medical,1,Research Scientist,Single,40250,1.0,0,10.0,3,9,7,3
185,3.0,3.0,Yes,Travel_Frequently,3,Medical,2,Laboratory Technician,Single,37850,5.0,2,4.0,2,1,2,3
186,2.0,4.0,No,Travel_Rarely,3,Medical,1,Laboratory Technician,Married,108540,2.0,1,14.0,6,6,7,3
187,1.0,2.0,No,Travel_Rarely,3,Medical,1,Sales Executive,Single,120310,3.0,0,37.0,5,7,7,3
188,4.0,4.0,No,Non-Travel,2,Life Sciences,2,Research Scientist,Single,99360,7.0,1,16.0,2,1,10,2
189,2.0,3.0,No,Travel_Rarely,3,Medical,1,Sales Representative,Married,29660,9.0,0,15.0,2,6,9,2
190,2.0,3.0,No,Travel_Rarely,3,Life Sciences,2,Laboratory Technician,Single,25710,7.0,0,22.0,1,5,13,3
191,3.0,3.0,No,Travel_Frequently,1,Medical,1,Research Scientist,Married,99910,1.0,1,8.0,3,0,7,3
192,2.0,4.0,No,Travel_Rarely,4,Life Sciences,3,Research Director,Single,61420,4.0,2,10.0,2,0,5,2
193,4.0,1.0,No,Travel_Rarely,3,Medical,3,Sales Executive,Married,53900,1.0,0,10.0,3,5,8,3
194,4.0,2.0,No,Travel_Rarely,1,Medical,4,Sales Executive,Married,44040,0.0,0,9.0,2,3,7,3
195,3.0,3.0,Yes,Travel_Frequently,1,Life Sciences,2,Laboratory Technician,Divorced,59930,0.0,0,8.0,3,1,0,3
196,4.0,4.0,No,Travel_Rarely,3,Medical,1,Research Scientist,Divorced,51300,4.0,0,8.0,3,1,2,2
197,1.0,3.0,No,Travel_Rarely,3,Medical,1,Laboratory Technician,Divorced,20900,4.0,0,10.0,2,0,5,3
198,3.0,4.0,No,Travel_Rarely,4,Life Sciences,1,Sales Executive,Divorced,29090,9.0,2,10.0,2,0,1,3
199,2.0,2.0,Yes,Travel_Frequently,3,Technical Degree,1,Sales Executive,Single,34680,1.0,2,0.0,4,0,0,4
200,3.0,1.0,No,Non-Travel,4,Technical Degree,2,Laboratory Technician,Divorced,30680,3.0,0,20.0,3,0,1,2
201,1.0,3.0,No,Non-Travel,3,Life Sciences,2,Manufacturing Director,Single,26700,2.0,2,10.0,2,0,7,2
202,1.0,3.0,No,Travel_Rarely,4,Medical,3,Healthcare Representative,Divorced,26930,5.0,3,8.0,3,0,0,2
203,1.0,3.0,No,Travel_Rarely,4,Medical,2,Human Resources,Single,95260,1.0,0,5.0,2,0,3,2
204,4.0,4.0,No,Travel_Rarely,3,Medical,1,Laboratory Technician,Single,52370,1.0,1,10.0,3,5,7,2
205,3.0,4.0,Yes,Travel_Rarely,3,Marketing,2,Manufacturing Director,Single,24260,1.0,0,1.0,3,0,0,1
206,2.0,4.0,No,Travel_Rarely,1,Life Sciences,1,Sales Executive,Single,41930,4.0,1,12.0,5,1,2,3
207,1.0,3.0,No,Travel_Frequently,1,Medical,5,Human Resources,Married,29110,5.0,0,28.0,3,1,2,3
208,2.0,1.0,No,Travel_Rarely,1,Life Sciences,1,Research Director,Married,26610,7.0,1,22.0,2,11,8,3
209,1.0,2.0,No,Non-Travel,2,Medical,1,Sales Executive,Divorced,20280,1.0,1,9.0,3,7,7,3
210,4.0,1.0,No,Travel_Rarely,1,Medical,1,Laboratory Technician,Divorced,99800,2.0,1,18.0,2,6,9,3
211,4.0,3.0,Yes,Non-Travel,2,Life Sciences,2,Research Director,Married,32980,8.0,0,6.0,4,1,2,2
212,4.0,4.0,No,Travel_Frequently,3,Life Sciences,1,Healthcare Representative,Married,29350,0.0,2,3.0,5,2,1,2
213,3.0,3.0,No,Travel_Rarely,3,Life Sciences,1,Research Scientist,Married,154270,3.0,1,18.0,2,0,0,3
214,2.0,2.0,No,Travel_Rarely,4,Technical Degree,5,Research Scientist,Married,39440,6.0,2,8.0,3,4,3,3
215,4.0,3.0,No,Travel_Rarely,1,Life Sciences,1,Sales Executive,Divorced,40110,1.0,2,31.0,2,0,9,1
216,2.0,4.0,No,Travel_Rarely,3,Marketing,1,Sales Executive,Married,34070,1.0,2,6.0,2,1,4,2
217,1.0,2.0,No,Travel_Rarely,4,Technical Degree,4,Sales Executive,Married,119940,1.0,1,6.0,6,1,4,3
218,4.0,2.0,No,Travel_Rarely,3,Medical,1,Laboratory Technician,Married,12320,1.0,0,1.0,4,0,0,1
